ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Customer_rating
4683,A,Ship,4,163,3,low,M,3,4185,1,0
4684,B,Ship,4,171,2,low,M,4,4962,0,0
4685,C,Ship,4,261,3,low,F,9,5994,1,0
4686,F,Ship,4,195,2,low,M,8,4576,0,0
4687,D,Ship,4,190,6,high,M,5,4139,1,0
4688,F,Ship,5,236,3,high,M,4,5724,1,1
4689,A,Ship,3,254,3,medium,M,6,5716,0,0
4690,B,Ship,3,157,3,medium,M,10,4877,0,0
4691,C,Ship,3,245,3,medium,F,1,5325,0,0
4692,F,Ship,4,144,4,medium,M,8,4303,0,0
4693,D,Ship,5,217,4,low,M,3,5718,1,0
4694,F,Ship,3,249,2,low,F,2,5078,0,0
4695,A,Ship,3,176,2,low,F,2,5083,0,0
4696,B,Ship,3,230,2,low,F,1,4970,1,0
4697,C,Ship,3,204,2,medium,F,5,4504,1,1
4698,F,Ship,4,266,2,low,F,5,5601,0,0
4699,D,Ship,4,213,3,low,F,2,5722,0,0
4700,F,Ship,3,147,3,low,F,8,5525,0,0
4701,A,Ship,3,201,3,low,F,3,4556,1,0
4702,B,Ship,2,248,3,low,F,5,5441,0,0
4703,C,Ship,4,167,3,medium,M,5,5791,0,0
4704,F,Ship,3,232,2,low,M,10,5678,0,0
4705,D,Ship,5,163,3,medium,M,9,4419,1,0
4706,F,Ship,4,201,5,medium,M,3,5901,1,0
4707,A,Ship,4,252,2,low,F,9,4157,0,1
4708,B,Ship,3,146,4,low,F,10,4583,0,0
4709,C,Ship,5,160,3,medium,M,3,5839,0,0
4710,F,Ship,5,167,4,low,M,10,4325,0,0
4711,D,Ship,4,224,2,medium,F,8,4781,1,0
4712,F,Ship,4,239,3,medium,F,5,5978,0,0
4713,A,Ship,4,151,6,low,M,7,4387,0,0
4714,B,Ship,4,264,3,low,F,10,5972,0,1
4715,C,Ship,4,242,3,medium,M,8,4644,1,0
4716,F,Ship,3,204,4,high,M,9,4712,0,0
4717,D,Ship,3,260,2,medium,M,1,5970,0,1
4718,F,Ship,3,279,3,medium,F,6,4560,0,0
4719,A,Ship,3,225,4,low,F,8,5209,0,0
4720,B,Ship,3,190,3,low,M,9,4468,0,1
4721,C,Ship,4,152,2,low,M,7,5026,0,0
4722,F,Ship,3,201,6,medium,M,7,4723,1,0
4723,D,Ship,3,191,2,medium,M,7,5357,0,0
4724,F,Ship,4,140,3,low,M,1,4453,0,0
4725,A,Ship,5,199,4,medium,F,8,5362,0,0
4726,B,Ship,4,194,3,medium,F,6,5282,0,0
4727,C,Ship,4,273,2,low,F,5,5608,1,0
4728,F,Ship,4,259,2,medium,F,4,4092,1,1
4729,D,Ship,4,180,3,medium,M,5,4038,1,0
4730,F,Ship,5,251,2,low,M,9,4458,0,0
4731,A,Ship,5,269,3,low,F,5,5031,0,0
4732,B,Ship,6,274,6,medium,F,2,4281,0,0
4733,C,Ship,5,250,2,medium,M,10,5475,1,1
4734,F,Ship,3,265,3,medium,F,8,5980,0,1
4735,D,Ship,4,169,10,medium,F,6,5106,1,0
4736,F,Ship,3,211,3,high,M,8,5191,1,0
4737,A,Ship,4,245,2,low,M,6,5772,0,0
4738,B,Ship,4,188,2,low,M,6,5894,1,0
4739,C,Ship,3,244,2,medium,F,10,4064,1,1
4740,F,Ship,3,233,3,medium,F,7,5787,0,1
4741,D,Ship,3,144,3,medium,F,6,4163,0,0
4742,F,Ship,3,221,2,low,F,6,5289,0,1
4743,A,Ship,3,267,2,high,M,2,5062,1,1
4744,B,Ship,3,211,3,high,F,7,5178,0,0
4745,C,Ship,4,205,3,low,F,10,4923,0,0
4746,F,Ship,3,144,3,high,M,1,5307,0,0
4747,D,Ship,3,195,7,medium,F,4,4614,0,0
4748,F,Ship,5,232,7,medium,M,6,5139,0,1
4749,A,Ship,5,199,10,medium,F,1,5865,0,0
4750,B,Ship,5,232,3,low,F,5,5338,0,1
4751,C,Ship,5,272,2,low,F,1,5983,1,0
4752,F,Ship,2,167,2,medium,M,1,4344,0,0
4753,D,Ship,3,272,8,high,F,10,4070,0,0
4754,F,Ship,6,247,4,low,M,10,1556,0,0
4755,A,Ship,5,275,4,medium,M,9,1215,1,1
4756,B,Ship,6,291,4,low,F,8,1131,0,0
4757,C,Ship,6,265,4,low,M,7,1404,1,1
4758,F,Ship,7,250,5,medium,F,4,1163,1,0
4759,D,Ship,7,291,4,low,F,8,1275,0,0
4760,F,Ship,6,255,4,low,F,9,1197,0,1
4761,A,Ship,6,290,4,medium,M,2,1867,1,1
4762,B,Ship,5,276,4,low,M,2,1411,1,1
4763,C,Ship,4,149,3,medium,F,8,1136,0,0
4764,F,Ship,3,201,6,medium,M,2,4984,0,0
4765,D,Ship,3,191,2,medium,M,8,5667,1,0
4766,F,Ship,4,140,3,low,F,4,5924,1,0
4767,A,Ship,5,199,4,medium,M,2,4902,1,0
4768,B,Ship,4,194,3,medium,F,9,5804,0,0
4769,C,Road,4,273,2,low,F,9,5724,0,1
4770,F,Road,4,259,2,medium,F,8,4672,0,0
4771,D,Road,4,180,3,medium,F,1,5088,0,1
4772,F,Road,5,251,2,low,F,3,5347,1,0
4773,A,Road,5,269,3,low,F,8,4811,0,0
4774,B,Road,6,274,6,medium,F,1,4632,0,0
4775,C,Road,5,250,2,medium,F,6,5565,0,0
4776,F,Road,3,265,3,medium,F,3,5241,0,0
4777,D,Road,4,169,10,medium,F,6,4385,0,1
4778,F,Road,3,211,3,high,F,4,4354,1,0
4779,A,Road,4,245,2,low,M,5,5324,1,0
4780,B,Road,4,188,2,low,F,4,4433,0,1
4781,C,Road,3,244,2,medium,M,8,5715,1,1
4782,F,Road,3,233,3,medium,F,10,4626,0,0
4783,D,Road,3,144,3,medium,M,8,5867,1,0
4784,F,Road,3,221,2,low,F,7,5320,0,0
4785,A,Road,3,267,2,high,M,1,4195,1,1
4786,B,Road,3,211,3,high,M,1,5144,0,0
4787,C,Road,4,205,3,low,M,6,4254,0,0
4788,F,Road,3,144,3,high,F,9,4428,1,0
4789,D,Road,3,195,7,medium,F,9,5829,0,0
4790,F,Road,5,232,7,medium,M,6,5285,1,0
4791,A,Flight,5,199,10,medium,F,8,4140,0,0
4792,B,Flight,5,232,3,low,F,3,5718,1,1
4793,C,Flight,5,272,2,low,F,4,5112,0,0
4794,F,Flight,2,167,2,medium,F,3,5894,1,0
4795,D,Flight,3,272,8,high,M,7,5257,1,0
4796,F,Flight,6,247,4,low,F,2,1326,0,0
4797,A,Flight,5,275,4,medium,F,10,1141,1,0
4798,B,Flight,6,291,4,low,M,9,1413,0,1
4799,C,Flight,6,265,4,low,F,7,1644,1,0
4800,F,Flight,7,250,5,medium,M,9,1327,0,0
4801,D,Flight,7,291,4,low,M,2,1216,1,0
4802,F,Flight,6,255,4,low,F,2,1385,0,0
4803,A,Flight,6,290,4,medium,F,9,1339,0,0
4804,B,Flight,6,247,4,medium,F,4,1476,1,0
4805,C,Flight,6,152,2,low,F,9,1993,0,0
4806,F,Flight,7,278,4,low,F,5,1572,1,1
4807,D,Flight,6,260,4,medium,F,2,1131,0,0
4808,F,Flight,6,254,4,low,M,6,1335,0,0
4809,A,Flight,2,151,4,low,F,6,1803,0,0
4810,B,Flight,2,198,2,medium,M,4,1913,1,1
4811,C,Flight,6,243,4,low,M,9,1353,1,0
4812,F,Flight,6,245,4,low,F,8,1403,0,1
4813,D,Ship,6,300,4,low,F,8,1301,1,0
4814,F,Ship,6,303,4,medium,F,10,1003,0,0
4815,A,Ship,7,286,4,low,F,3,1670,0,0
4816,B,Ship,7,248,4,medium,F,1,1163,1,0
4817,C,Ship,6,244,4,low,M,9,1789,1,1
4818,F,Ship,7,290,4,low,F,9,1885,0,0
4819,D,Ship,4,260,5,low,M,10,1832,1,0
4820,F,Ship,6,310,4,medium,M,1,1105,1,1
4821,A,Ship,6,247,4,low,M,3,1616,1,0
4822,B,Ship,6,281,4,low,M,8,1241,1,1
4823,C,Ship,6,260,4,medium,M,9,1800,0,0
4824,F,Ship,6,263,4,low,F,6,1153,0,0
4825,D,Ship,5,285,4,medium,F,10,1428,0,0
4826,F,Ship,3,269,3,medium,M,9,5133,1,0
4827,A,Ship,2,205,6,low,M,2,5671,0,1
4828,B,Ship,3,109,3,low,M,4,5746,0,0
4829,C,Ship,5,216,2,low,F,6,4535,0,0
4830,F,Ship,3,184,3,medium,F,8,4994,0,0
4831,D,Ship,4,106,2,low,M,6,5984,0,0
4832,F,Ship,3,228,2,low,F,5,4456,1,0
4833,A,Ship,4,140,3,medium,F,8,4956,0,1
4834,B,Ship,4,251,3,medium,M,5,4206,0,0
4835,C,Ship,3,153,3,medium,M,5,4578,1,0
4836,F,Ship,4,176,2,medium,F,1,5793,0,0
4837,D,Ship,4,206,2,medium,F,4,5194,1,0
4838,F,Ship,3,189,2,low,F,9,4690,0,0
4839,A,Ship,2,251,6,medium,F,1,4165,1,0
4840,B,Ship,4,155,3,low,F,1,4360,1,0
4841,C,Ship,6,260,5,medium,M,2,4687,1,0
4842,F,Ship,5,156,6,medium,F,4,4821,0,0
4843,D,Ship,4,225,2,medium,M,7,5241,1,0
4844,F,Ship,6,284,4,medium,M,8,5346,1,1
4845,A,Ship,5,263,2,low,M,3,4474,1,0
4846,B,Ship,3,238,2,medium,M,2,5512,0,0
4847,C,Ship,5,267,2,low,M,7,5292,0,0
4848,F,Ship,3,101,2,medium,M,9,4860,0,0
4849,D,Ship,3,175,3,medium,M,1,4872,0,0
4850,F,Ship,4,261,2,low,M,3,4119,0,1
4851,A,Ship,5,150,3,low,M,10,4799,1,0
4852,B,Ship,3,206,4,medium,F,2,5829,1,1
4853,C,Ship,4,254,4,low,F,10,4827,0,0
4854,F,Ship,4,159,3,low,M,5,4985,1,0
4855,D,Ship,2,284,3,medium,M,6,4575,0,1
4856,F,Ship,3,170,2,low,M,9,4112,0,0
4857,A,Ship,4,245,3,low,F,7,4297,0,1
4858,B,Ship,4,152,3,medium,M,5,5191,0,1
4859,C,Ship,5,193,4,high,F,4,5757,1,0
4860,F,Ship,5,231,2,low,M,8,5743,1,0
4861,D,Ship,4,212,3,low,M,3,4896,0,0
4862,F,Ship,3,185,2,medium,M,8,5449,1,0
4863,A,Ship,4,223,3,low,F,10,5560,1,0
4864,B,Ship,4,241,4,medium,M,9,5360,0,0
4865,C,Ship,5,215,3,low,F,5,5552,1,0
4866,F,Ship,4,261,2,medium,M,6,5920,0,1
4867,D,Ship,4,158,5,medium,F,7,4344,1,0
4868,F,Ship,3,166,2,medium,F,8,5871,0,0
4869,A,Ship,4,280,6,high,M,8,4525,0,0
4870,B,Ship,3,264,3,low,F,8,5831,0,0
4871,C,Ship,3,204,2,medium,M,6,5612,0,0
4872,F,Ship,4,261,2,medium,F,9,5306,1,0
4873,D,Ship,6,138,3,medium,F,4,4225,0,0
4874,F,Ship,4,225,2,medium,M,10,4829,1,0
4875,A,Ship,4,238,5,low,M,1,4753,0,0
4876,B,Ship,4,234,3,medium,F,3,5142,1,1
4877,C,Ship,4,237,3,low,F,7,4785,0,0
4878,F,Ship,3,165,3,medium,F,4,5924,1,0
4879,D,Ship,2,148,2,low,M,10,5939,1,0
4880,F,Ship,5,148,4,high,M,2,5821,1,0
4881,A,Ship,3,218,3,low,F,4,5086,1,0
4882,B,Ship,4,218,6,low,M,5,4364,1,1
4883,C,Ship,4,181,4,low,F,8,5106,0,0
4884,F,Ship,2,138,2,low,M,8,4932,1,0
4885,D,Ship,3,206,3,high,M,5,4022,0,0
4886,F,Ship,5,172,2,high,F,7,5165,0,0
4887,A,Ship,4,160,2,high,F,5,4343,0,0
4888,B,Ship,5,225,4,low,M,1,4328,1,0
4889,C,Ship,6,206,6,low,M,2,4014,1,1
4890,F,Ship,5,232,3,low,F,2,4545,1,1
4891,D,Ship,3,232,3,low,F,6,4050,0,0
4892,F,Ship,3,197,2,low,F,3,4865,0,0
4893,A,Ship,5,246,3,low,F,3,5013,0,0
4894,B,Ship,3,241,3,medium,M,3,4047,0,0
4895,C,Ship,6,211,4,medium,F,4,4032,0,1
4896,F,Ship,3,162,2,low,F,9,4903,0,0
4897,D,Ship,3,264,4,low,M,10,4265,0,0
4898,F,Ship,5,211,3,low,F,5,5087,0,0
4899,A,Ship,4,159,5,low,F,7,4063,0,1
4900,B,Ship,5,166,2,high,F,2,4562,1,1
4901,C,Ship,4,163,6,medium,M,1,4584,0,0
4902,F,Ship,4,164,2,low,M,3,5735,0,0
4903,D,Ship,5,255,3,high,M,6,4044,1,0
4904,F,Ship,4,153,3,medium,F,6,5748,0,0
4905,A,Ship,3,165,2,low,M,6,4445,0,0
4906,B,Road,3,162,3,medium,M,6,4505,1,0
4907,C,Road,3,223,3,low,M,8,5318,0,0
4908,F,Road,3,200,2,medium,F,6,4751,1,0
4909,D,Road,3,194,3,medium,F,3,4435,1,1
4910,F,Road,3,257,2,low,M,6,4897,1,0
4911,A,Road,2,188,2,low,M,5,5250,0,0
4912,B,Road,3,221,3,medium,F,1,5391,0,0
4913,C,Road,4,193,2,low,F,6,4855,1,0
4914,F,Road,3,166,2,low,M,2,5710,1,0
4915,D,Road,4,212,2,medium,M,8,4239,0,0
4916,F,Road,3,252,3,medium,M,7,4507,0,0
4917,A,Road,3,155,2,low,M,7,4221,1,0
4918,B,Road,4,244,4,medium,F,2,5365,1,1
4919,C,Road,3,162,2,medium,M,7,5719,1,0
4920,F,Road,2,228,2,medium,M,10,4854,1,0
4921,D,Road,4,208,3,medium,F,3,4837,1,0
4922,F,Road,5,156,3,medium,M,7,4293,0,0
4923,A,Road,3,209,2,high,F,1,5779,1,0
4924,B,Road,4,203,2,medium,F,8,4450,1,1
4925,C,Road,4,196,5,high,F,7,4622,0,0
4926,F,Road,4,256,3,low,M,8,4398,0,0
4927,D,Road,4,159,4,medium,F,4,4816,0,1
4928,F,Flight,5,137,4,low,M,4,5888,0,1
4929,A,Flight,2,271,3,low,M,4,5775,0,1
4930,B,Flight,5,264,2,medium,F,3,4056,1,0
4931,C,Flight,2,264,3,medium,M,1,4518,0,0
4932,F,Flight,4,205,2,medium,M,10,4178,1,0
4933,D,Flight,5,266,3,low,M,10,5858,0,0
4934,F,Flight,5,200,3,medium,F,8,5206,1,0
4935,A,Flight,4,154,6,medium,F,10,4361,1,0
4936,B,Flight,3,178,3,low,M,4,5119,1,0
4937,C,Flight,5,198,3,low,F,7,5768,1,0
4938,F,Flight,3,218,2,medium,M,2,5973,0,0
4939,D,Flight,4,185,3,high,F,6,4238,1,0
4940,F,Flight,3,235,3,low,M,4,5498,0,0
4941,A,Flight,3,251,3,high,F,4,4156,1,1
4942,B,Flight,5,275,5,low,F,9,5168,1,0
4943,C,Flight,5,156,5,low,M,9,5237,0,0
4944,F,Flight,3,135,3,low,M,3,4938,0,1
4945,D,Flight,4,143,3,medium,M,4,4283,0,0
4946,F,Flight,5,240,3,high,M,10,5277,0,0
4947,A,Flight,5,131,5,low,F,4,4600,1,0
4948,B,Flight,4,142,3,medium,M,2,5692,0,1
4949,C,Flight,5,275,4,low,F,7,4597,0,0
4950,F,Ship,5,137,3,low,M,5,5914,1,1
4951,D,Ship,3,165,4,medium,M,3,4235,0,0
4952,F,Ship,5,250,2,low,F,10,4277,0,0
4953,A,Ship,4,242,3,medium,M,10,4721,0,0
4954,B,Ship,3,181,3,medium,F,3,5620,1,0
4955,C,Ship,4,211,3,medium,M,5,4812,0,0
4956,F,Ship,2,177,4,low,M,8,5878,1,0
4957,D,Ship,3,135,3,medium,M,2,5860,0,0
4958,F,Ship,6,151,3,low,F,10,5414,1,0
4959,A,Ship,5,250,6,low,F,1,4343,0,0
4960,B,Ship,5,191,4,medium,F,10,4933,1,1
4961,C,Ship,2,158,5,medium,F,2,4303,1,0
4962,F,Ship,3,229,2,medium,F,1,5670,0,0
4963,D,Ship,4,169,4,low,M,6,4168,1,1
4964,F,Ship,5,164,3,low,M,7,4540,1,0
4965,A,Ship,4,177,2,medium,M,6,5566,0,0
4966,B,Ship,4,193,3,medium,M,8,4715,1,0
4967,C,Ship,4,198,3,medium,F,1,4090,0,0
4968,F,Ship,3,268,3,low,M,2,4746,1,0
4969,D,Ship,3,269,3,high,M,8,5910,0,0
4970,F,Ship,4,275,3,low,F,3,4824,0,0
4971,A,Ship,5,233,3,high,M,5,5330,0,1
4972,B,Ship,2,259,3,low,M,3,4770,1,1
4973,C,Ship,3,239,6,low,F,8,5791,1,1
4974,F,Ship,3,134,3,medium,F,3,5232,0,0
4975,D,Ship,5,131,8,low,M,7,4471,0,0
4976,F,Ship,4,194,8,medium,M,10,5995,0,0
4977,A,Ship,4,261,3,high,F,2,4954,1,1
4978,B,Ship,4,254,10,high,M,7,5820,0,0
4979,C,Ship,4,161,6,low,F,2,5734,0,0
4980,F,Ship,4,227,2,low,M,7,4414,0,1
4981,D,Ship,3,165,3,high,F,10,4208,0,0
4982,F,Ship,3,156,7,medium,F,9,5313,1,0
4983,A,Ship,3,262,7,high,F,9,5097,0,0
4984,B,Ship,4,263,3,low,M,4,4150,1,0
4985,C,Ship,4,196,3,low,M,1,5172,1,0
4986,F,Ship,6,152,2,low,F,3,1340,0,0
4987,D,Ship,7,278,4,low,M,10,1508,1,0
4988,F,Ship,6,260,4,medium,M,1,1726,0,0
4989,A,Ship,6,254,4,low,M,7,1674,0,1
4990,B,Ship,2,151,4,low,F,2,1150,0,0
4991,C,Ship,2,198,2,medium,F,6,1996,0,0
4992,F,Ship,6,243,4,low,M,9,1258,1,0
4993,D,Ship,6,245,4,low,F,10,1448,0,0
4994,F,Ship,3,268,3,low,F,6,5603,0,1
4995,A,Ship,3,269,3,high,F,6,4260,1,0
4996,B,Ship,4,275,3,low,M,10,5674,1,0
4997,C,Ship,5,233,3,high,M,7,5323,1,0
4998,F,Ship,2,259,3,low,M,6,4840,1,0
4999,D,Ship,3,239,6,low,M,7,4501,1,0
5000,F,Ship,3,134,3,medium,F,8,4950,0,0
5001,A,Ship,5,131,8,low,F,5,4149,1,0
5002,B,Ship,4,194,8,medium,F,9,4843,1,1
5003,C,Ship,4,261,3,high,M,1,4931,0,0
5004,F,Ship,4,254,10,high,M,7,5524,1,1
5005,D,Ship,4,161,6,low,M,6,5560,1,0
5006,F,Ship,4,227,2,low,F,7,4916,0,0
5007,A,Ship,3,165,3,high,M,10,4910,0,0
5008,B,Ship,3,156,7,medium,M,2,5467,0,0
5009,C,Ship,3,262,7,high,M,5,5985,1,0
5010,F,Ship,4,263,3,low,F,3,5253,0,0
5011,D,Ship,4,196,3,low,F,10,4194,1,0
5012,F,Ship,6,152,2,low,M,6,1711,0,0
5013,A,Ship,7,278,4,low,F,8,1909,1,0
5014,B,Ship,6,260,4,medium,F,10,1799,0,1
5015,C,Ship,6,254,4,low,M,4,1392,0,0
5016,F,Ship,2,151,4,low,F,3,1353,1,0
5017,D,Ship,2,198,2,medium,F,6,1730,1,0
5018,F,Ship,5,285,4,medium,F,7,1666,1,0
5019,A,Ship,7,306,4,medium,M,5,1467,0,0
5020,B,Ship,6,291,4,low,F,5,1327,0,0
5021,C,Ship,6,292,4,low,M,8,1925,0,0
5022,F,Ship,6,293,5,low,F,3,1969,0,0
5023,D,Ship,6,275,4,low,F,3,1182,0,0
5024,F,Ship,6,274,4,low,M,6,1066,0,1
5025,A,Ship,7,310,4,low,F,7,1294,0,0
5026,B,Ship,6,292,4,low,M,4,1762,1,1
5027,C,Ship,6,256,5,low,F,1,1980,0,0
5028,F,Ship,7,295,4,low,M,5,1239,0,0
5029,D,Ship,3,149,2,medium,M,5,1023,0,1
5030,F,Ship,6,294,4,medium,F,2,1273,1,1
5031,A,Ship,6,281,4,medium,F,7,1599,1,0
5032,B,Ship,6,294,4,medium,M,6,1112,0,0
5033,C,Ship,6,249,4,low,F,8,1274,0,1
5034,F,Ship,6,276,4,medium,F,6,1005,1,1
5035,D,Ship,7,284,4,medium,F,8,1148,1,1
5036,F,Ship,4,134,3,low,F,1,1008,0,1
5037,A,Ship,6,271,4,medium,F,1,1733,0,0
5038,B,Ship,6,244,4,medium,F,1,1406,1,0
5039,C,Ship,6,264,4,low,M,10,1960,0,0
5040,F,Ship,6,275,4,low,M,8,1553,1,1
5041,D,Ship,7,310,4,medium,F,7,1989,0,0
5042,F,Ship,6,301,5,medium,F,3,1586,0,0
5043,A,Road,6,247,4,medium,F,9,1011,0,0
5044,B,Road,4,224,2,low,M,9,5603,1,0
5045,C,Road,3,242,2,low,F,6,5635,0,1
5046,F,Road,4,145,2,low,F,2,5209,0,0
5047,D,Road,4,150,2,low,M,5,4140,0,0
5048,F,Road,4,266,3,low,M,4,5905,0,0
5049,A,Road,5,260,2,low,M,4,5580,0,0
5050,B,Road,4,259,3,medium,M,5,4435,1,0
5051,C,Road,4,192,3,low,F,10,4068,0,0
5052,F,Road,3,149,3,medium,M,5,4805,1,0
5053,D,Road,4,133,2,medium,M,1,5274,1,0
5054,F,Road,4,145,3,medium,F,3,5424,1,0
5055,A,Road,3,186,3,high,M,1,5922,1,0
5056,B,Road,5,267,3,medium,F,8,5786,1,0
5057,C,Road,3,157,4,medium,F,2,5684,0,0
5058,F,Road,4,174,3,low,F,3,5920,0,0
5059,D,Road,4,216,2,low,F,4,5984,0,0
5060,F,Road,4,143,3,low,F,2,4693,0,0
5061,A,Road,5,135,3,low,M,3,4939,1,0
5062,B,Road,4,222,3,low,M,4,5919,0,0
5063,C,Road,6,140,2,high,M,1,4053,0,0
5064,F,Road,4,209,2,medium,F,9,5131,0,0
5065,D,Flight,3,162,2,low,M,4,4495,0,1
5066,F,Flight,5,152,4,medium,M,6,5596,0,0
5067,A,Flight,4,236,3,medium,M,9,4725,0,0
5068,B,Flight,4,192,4,low,F,10,4691,0,1
5069,C,Flight,5,233,3,high,F,4,4140,0,0
5070,F,Flight,3,156,3,medium,F,2,4190,1,1
5071,D,Flight,5,257,3,medium,M,7,4133,0,0
5072,F,Flight,4,228,4,low,M,4,4750,0,1
5073,A,Flight,5,262,2,high,M,9,5008,0,0
5074,B,Flight,3,203,2,low,M,2,4647,1,0
5075,C,Flight,4,217,4,medium,F,3,5966,0,1
5076,F,Flight,3,197,5,medium,F,6,5919,0,0
5077,D,Flight,3,217,3,low,M,9,4306,0,1
5078,F,Flight,3,200,4,medium,F,4,4918,0,0
5079,A,Flight,4,181,3,medium,M,10,4541,1,0
5080,B,Flight,4,212,3,low,M,2,4353,1,0
5081,C,Flight,5,217,2,low,F,4,5588,0,0
5082,F,Flight,5,240,4,medium,F,2,5215,0,0
5083,D,Flight,3,161,3,low,M,9,4865,1,0
5084,F,Flight,3,157,3,medium,F,6,5611,0,0
5085,A,Flight,4,133,3,medium,M,4,5180,1,1
5086,B,Flight,4,138,3,low,F,2,5593,0,0
5087,C,Ship,4,158,3,high,M,1,5089,1,0
5088,F,Ship,5,243,3,high,M,2,5734,1,0
5089,D,Ship,3,189,3,medium,M,2,4718,0,0
5090,F,Ship,2,272,2,medium,M,4,4632,0,0
5091,A,Ship,4,168,3,low,M,6,5488,1,0
5092,B,Ship,4,157,3,medium,F,10,5041,1,0
5093,C,Ship,3,217,2,medium,F,6,5182,0,1
5094,F,Ship,5,237,4,low,F,8,5432,0,0
5095,D,Ship,4,133,2,low,M,9,4145,0,0
5096,F,Ship,3,243,2,medium,M,1,5840,1,0
5097,A,Ship,5,273,4,medium,M,2,4186,1,0
5098,B,Ship,5,202,5,low,F,6,5230,1,0
5099,C,Ship,5,240,2,low,F,7,4409,1,1
5100,F,Ship,3,275,3,low,M,6,5148,0,1
5101,D,Ship,3,274,3,medium,M,5,4710,1,1
5102,F,Ship,4,272,3,low,F,4,5654,0,0
5103,A,Ship,2,126,5,medium,M,2,5461,0,0
5104,B,Ship,5,215,2,medium,F,10,5194,1,0
5105,C,Ship,2,175,5,low,F,8,4269,0,1
5106,F,Ship,4,149,6,medium,M,5,5456,1,0
5107,D,Ship,6,145,3,medium,F,1,4346,1,0
5108,F,Ship,6,257,4,medium,F,3,5656,1,0
5109,A,Ship,4,136,3,medium,M,10,4299,1,0
5110,B,Ship,5,163,6,low,M,6,4349,0,0
5111,C,Ship,3,256,3,low,M,7,5013,1,0
5112,F,Ship,3,141,3,low,F,7,4954,1,0
5113,D,Ship,4,196,2,medium,F,4,4203,1,0
5114,F,Ship,5,154,2,low,F,5,5528,0,0
5115,A,Ship,5,197,3,medium,F,2,4678,1,0
5116,B,Ship,3,207,3,medium,F,1,4369,0,0
5117,C,Ship,4,258,4,low,M,5,5664,0,0
5118,F,Ship,3,270,3,high,F,7,4690,1,0
5119,D,Ship,5,139,4,low,F,9,5070,1,0
5120,F,Ship,3,197,3,low,M,4,5423,0,1
5121,A,Ship,5,176,3,low,M,9,5656,0,0
5122,B,Ship,3,206,3,medium,M,5,5676,1,0
5123,C,Ship,4,176,4,medium,M,6,5061,0,1
5124,F,Ship,2,208,3,medium,F,6,4226,1,0
5125,D,Ship,3,154,2,medium,F,1,5746,1,0
5126,F,Ship,2,206,5,low,F,7,5203,0,0
5127,A,Ship,3,253,2,low,M,8,5476,1,1
5128,B,Ship,4,270,3,medium,F,2,5272,0,1
5129,C,Ship,3,271,4,high,M,3,4006,1,0
5130,F,Ship,2,108,3,low,M,4,5924,1,0
5131,D,Ship,4,172,2,medium,M,7,4559,0,1
5132,F,Ship,5,265,3,high,M,5,4951,1,0
5133,A,Ship,4,208,5,medium,F,7,5401,0,0
5134,B,Ship,4,261,3,high,M,3,4885,1,1
5135,C,Ship,4,197,2,medium,F,1,5211,0,0
5136,F,Ship,4,240,2,medium,F,4,5101,0,0
5137,D,Ship,4,273,4,low,M,1,4857,0,0
5138,F,Ship,3,180,2,medium,M,1,5940,1,1
5139,A,Ship,4,136,2,medium,F,7,4305,1,0
5140,B,Ship,3,222,6,medium,F,10,4579,1,0
5141,C,Ship,4,231,4,medium,M,9,5528,0,1
5142,F,Ship,4,240,5,low,M,8,4558,0,1
5143,D,Ship,4,152,3,low,M,10,5974,0,0
5144,F,Ship,5,206,2,medium,F,2,5627,1,0
5145,A,Ship,2,274,4,medium,F,10,4798,1,0
5146,B,Ship,5,97,6,high,M,7,5509,1,0
5147,C,Ship,3,243,4,medium,F,10,4076,0,0
5148,F,Ship,3,106,6,medium,F,7,4621,0,0
5149,D,Ship,5,241,3,low,F,2,5587,1,0
5150,F,Ship,3,217,4,medium,F,1,5761,1,0
5151,A,Ship,4,241,4,medium,M,5,5080,0,0
5152,B,Ship,4,213,3,low,M,6,5447,0,0
5153,C,Ship,3,134,3,medium,M,10,4200,0,0
5154,F,Ship,3,162,2,medium,F,8,4972,0,0
5155,D,Ship,2,193,4,low,M,7,5552,1,0
5156,F,Ship,4,138,2,medium,M,9,5297,1,0
5157,A,Ship,5,181,5,medium,M,2,5324,0,0
5158,B,Ship,4,274,2,low,M,10,4361,0,0
5159,C,Ship,4,254,2,high,F,3,4930,0,0
5160,F,Ship,5,196,5,low,M,10,5111,0,0
5161,D,Ship,4,157,4,low,F,6,4964,0,0
5162,F,Ship,4,130,3,medium,F,3,4317,0,0
5163,A,Ship,3,273,2,medium,F,7,5491,0,0
5164,B,Ship,4,154,3,medium,F,9,5489,1,1
5165,C,Ship,4,166,3,medium,F,8,4758,0,0
5166,F,Ship,5,171,3,low,M,8,4227,0,1
5167,D,Ship,5,177,2,low,M,2,5618,1,0
5168,F,Ship,2,195,3,low,M,3,5785,0,1
5169,A,Ship,5,269,2,low,F,9,5517,0,0
5170,B,Ship,4,196,3,low,M,4,4634,1,0
5171,C,Ship,3,244,3,high,M,7,5140,1,0
5172,F,Ship,3,137,3,medium,M,1,5490,1,0
5173,D,Ship,3,201,3,high,M,6,5165,1,0
